epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
87,563.244,0.33253,0.3978,0.98821,0.00474,0.6852,0.78521,0.73251,0.70895,0.27241,1.31622,0.88702,0.00873,0.000717875,0.000717875,0.000717875
88,569.378,0.32508,0.374,0.99282,0.00381,0.66736,0.77821,0.72477,0.7009,0.28128,1.37151,0.89905,0.01173,0.000711687,0.000711687,0.000711687
89,575.428,0.31739,0.37208,0.97473,0.00399,0.63722,0.72516,0.69318,0.67318,0.28219,1.43664,0.91259,0.00876,0.0007055,0.0007055,0.0007055
90,581.566,0.32627,0.38194,0.98838,0.00477,0.64764,0.80303,0.72441,0.7003,0.26513,1.39925,0.90025,0.00613,0.000699312,0.000699312,0.000699312
91,587.656,0.32755,0.36876,0.9903,0.00459,0.68776,0.72178,0.70948,0.68492,0.26719,1.60056,0.89673,0.00801,0.000693125,0.000693125,0.000693125
92,593.714,0.31186,0.36219,0.96625,0.00404,0.57486,0.83774,0.66407,0.63395,0.28227,1.55989,0.90367,0.0091,0.000686937,0.000686937,0.000686937
93,599.656,0.31356,0.34874,0.98086,0.00413,0.66468,0.77845,0.73241,0.70386,0.26921,1.4183,0.89904,0.00957,0.00068075,0.00068075,0.00068075
94,605.834,0.31548,0.34982,0.97505,0.00374,0.65595,0.78376,0.71925,0.69714,0.25931,1.36891,0.89592,0.00637,0.000674562,0.000674562,0.000674562
95,611.931,0.30961,0.34526,0.97935,0.00418,0.68246,0.81089,0.74141,0.71485,0.27118,1.29305,0.89507,0.01038,0.000668375,0.000668375,0.000668375
96,618.021,0.31027,0.36439,0.97643,0.00343,0.69772,0.79022,0.74136,0.72297,0.25644,1.35502,0.8875,0.00766,0.000662188,0.000662188,0.000662188
97,624.036,0.30622,0.34339,0.97364,0.004,0.69113,0.76966,0.7271,0.69985,0.29198,1.50937,0.90265,0.01506,0.000656,0.000656,0.000656
98,630.015,0.31838,0.37015,0.99388,0.0041,0.70156,0.7219,0.71372,0.69246,0.27285,1.45677,0.89718,0.01019,0.000649813,0.000649813,0.000649813
99,636.063,0.30208,0.35945,0.97222,0.00379,0.62556,0.80426,0.70572,0.68397,0.28535,1.45622,0.90595,0.01334,0.000643625,0.000643625,0.000643625
100,642.237,0.31404,0.36952,0.97617,0.00365,0.67185,0.7705,0.70516,0.682,0.28479,1.30996,0.91241,0.01535,0.000637437,0.000637437,0.000637437
101,648.393,0.30675,0.35099,0.97286,0.00366,0.71722,0.75821,0.73335,0.71068,0.28564,1.37656,0.9074,0.01406,0.00063125,0.00063125,0.00063125
102,654.457,0.30158,0.34235,0.98041,0.0037,0.64103,0.78892,0.71682,0.69701,0.27249,1.45682,0.90161,0.01014,0.000625062,0.000625062,0.000625062
103,660.338,0.31533,0.35391,0.98984,0.00408,0.66955,0.72954,0.70952,0.68239,0.2942,1.36767,0.90713,0.01615,0.000618875,0.000618875,0.000618875
104,666.287,0.31336,0.36672,0.97814,0.00359,0.63648,0.73396,0.70347,0.67873,0.29211,1.34723,0.90737,0.01589,0.000612687,0.000612687,0.000612687
105,672.312,0.31767,0.35936,0.98341,0.00356,0.65877,0.75228,0.72494,0.70318,0.2943,1.45204,0.91421,0.01431,0.0006065,0.0006065,0.0006065
106,678.447,0.31888,0.34809,0.98418,0.00364,0.66381,0.76817,0.73003,0.70465,0.2642,1.43144,0.89367,0.00855,0.000600313,0.000600313,0.000600313
107,684.608,0.30978,0.35763,0.98434,0.00446,0.61723,0.84065,0.74357,0.71841,0.28989,1.39551,0.90785,0.01317,0.000594125,0.000594125,0.000594125
